variable,mean_importance,sd_importance
tqwt_kurtosis_value_dec_20,0.0014533336401013877,8.494968190368733e-5
mean_mfcc_5th_coef,0.0014461861114047122,8.569000766608246e-5
mean_2nd_delta,0.0014150470127381445,1.0552086474168275e-4
mean_mfcc_1st_coef,0.0014149733417840944,9.021897216979308e-5
tqwt_entropy_shannon_dec_1,0.0013975566222543124,1.1334707310121551e-4
tqwt_std_value_dec_7,0.0013847515286397227,8.224270156442333e-5
app_lt_tkeo_std_9_coef,0.0013798718382303477,7.853099233909234e-5
tqwt_tkeo_mean_dec_16,0.0013783988412311445,6.673128226403134e-5
app_lt_tkeo_mean_4_coef,0.0013488800596490127,8.093347902563447e-5
mean_intensity,0.0013348512504943071,8.258346352244351e-5
ed_3_coef,0.0013309436526262306,7.151533266540139e-5
tqwt_kurtosis_value_dec_29,0.0013280917283865206,1.6382766157408267e-4
std_dev_period_pulses,0.0013166697234843932,8.436927774147854e-5
tqwt_kurtosis_value_dec_16,0.0013039587809930394,1.1312584072977283e-4
tqwt_std_value_dec_36,0.001301646920803515,1.0109182038759023e-4
det_tkeo_mean_1_coef,0.001299582828325337,9.072054372248256e-5
tqwt_entropy_log_dec_16,0.0012956653045055194,6.947615341077933e-5
tqwt_kurtosis_value_dec_35,0.0012935982925090807,8.120190940620953e-5
mean_mfcc_10th_coef,0.0012830208315856276,7.935107917985581e-5
tqwt_std_value_dec_18,0.0012729721817905475,7.491957111305251e-5
app_lt_entropy_shannon_1_coef,0.0012702764078575686,7.687290288605586e-5
app_lt_tkeo_mean_9_coef,0.0012667574445521643,5.280501112256185e-5
tqwt_max_value_dec_26,0.0012627538055557822,6.769574079818683e-5
tqwt_entropy_log_dec_1,0.0012581308434384067,7.783067279992667e-5
tqwt_std_value_dec_25,0.0012360858793292197,6.655478028690124e-5
tqwt_tkeo_mean_dec_33,0.0012358309858934355,6.869729382047352e-5
tqwt_max_value_dec_6,0.0012271541711016383,1.1016579153469518e-4
tqwt_min_value_dec_7,0.001222101542812745,6.25367273294084e-5
app_entropy_log_2_coef,0.0012196584670721472,6.027166301741788e-5
tqwt_tkeo_mean_dec_19,0.0012070177459511337,7.066591250876206e-5
tqwt_max_value_dec_36,0.00119221563424519,1.1623978725815134e-4
tqwt_skewness_value_dec_27,0.0011890001214046762,1.2565547153100493e-4
app_lt_entropy_log_1_coef,0.001186906003112702,6.550203468706744e-5
tqwt_std_value_dec_6,0.0011836381583798623,6.618242856187541e-5
tqwt_energy_dec_16,0.001183526961241465,6.593602332603261e-5
tqwt_mean_value_dec_36,0.0011681670299585208,8.794795598198527e-5
std_mfcc_7th_coef,0.001167293576211181,7.474939085576056e-5
app_entropy_log_5_coef,0.0011648765047178474,5.504425435734871e-5
app_lt_tkeo_std_10_coef,0.00115575533521973,6.1828262008098e-5
tqwt_entropy_shannon_dec_17,0.0011554023927553459,6.031257956671405e-5
tqwt_std_value_dec_19,0.0011455777807993987,6.02652161628101e-5
tqwt_max_value_dec_27,0.001140246664616302,6.966178470094239e-5
loc_db_shimmer,0.0011402338811186382,7.63019689030015e-5
app_lt_entropy_shannon_4_coef,0.0011386423462699021,4.943423597619011e-5
std_mfcc_4th_coef,0.0011385470653895817,7.774964523847134e-5
tqwt_tkeo_mean_dec_34,0.0011383200172988186,7.004262789723199e-5
tqwt_std_value_dec_34,0.001137255547404928,6.487626424106805e-5
std_12th_delta_delta,0.001134123850049792,8.705116470187726e-5
tqwt_energy_dec_18,0.0011260801346746057,9.188886597081789e-5
tqwt_entropy_log_dec_19,0.0011124597116616431,6.845160058398466e-5
tqwt_tkeo_mean_dec_6,0.0011089245626422462,6.759675174535552e-5
app_entropy_shannon_3_coef,0.0011043578716425388,5.283302428007996e-5
app_lt_tkeo_std_7_coef,0.0011014970342557678,5.500554496727235e-5
imf_nsr_tkeo,0.0010954392679113376,7.48880091521346e-5
tqwt_tkeo_std_dec_16,0.0010915314282726701,6.788080169540272e-5
app_entropy_shannon_1_coef,0.0010884727088560013,6.688001599974662e-5
tqwt_kurtosis_value_dec_31,0.0010884142224102395,1.349632658882922e-4
app_det_tkeo_mean_9_coef,0.0010873375380686945,5.5552659286664696e-5
det_lt_tkeo_mean_1_coef,0.0010803611190426017,7.156397928154373e-5
app_entropy_log_1_coef,0.0010716885871375158,4.967130534516165e-5
tqwt_entropy_shannon_dec_19,0.0010648346567048677,7.40358989808669e-5
tqwt_entropy_shannon_dec_16,0.0010562042704446936,6.615183869577931e-5
tqwt_kurtosis_value_dec_36,0.001051159034877355,6.285786944341753e-5
std_12th_delta,0.001045960836649709,5.9912746439545656e-5
tqwt_entropy_log_dec_31,0.0010349791496630412,5.89384517843032e-5
app_entropy_log_3_coef,0.0010324615468910777,4.234197782065517e-5
tqwt_tkeo_std_dec_5,0.001029678240951304,9.71472832365422e-5
tqwt_median_value_dec_34,0.001023501708098176,7.243717170671422e-5
vfer_entropy,0.0010212202834559735,6.9619028639311e-5
ed2_3_coef,0.0010202279070904911,5.447074655000061e-5
app_lt_entropy_log_3_coef,0.0010197761855335727,7.251001465896986e-5
app_lt_entropy_log_8_coef,0.0010159960333290695,6.89317632551531e-5
tqwt_min_value_dec_26,0.0010080971406301227,5.067901520841276e-5
tqwt_energy_dec_1,0.0010008067746350977,8.47901819543971e-5
max_intensity,9.946222998433961e-4,6.419685535189456e-5
tqwt_mean_value_dec_5,9.94140212992285e-4,4.917852458128962e-5
tqwt_std_value_dec_32,9.91080627471785e-4,5.095723633593347e-5
tqwt_tkeo_mean_dec_35,9.88109802809924e-4,6.375115599233439e-5
tqwt_kurtosis_value_dec_23,9.877769264401458e-4,7.378849165452893e-5
loc_shimmer,9.862365260441654e-4,7.225907420274761e-5
tqwt_kurtosis_value_dec_28,9.826153064006068e-4,8.480325604817222e-5
app_lt_entropy_log_2_coef,0.00098062147895698875,5.873963089478764e-5
tqwt_kurtosis_value_dec_24,9.799765674243007e-4,9.374610503773543e-5
app_lt_entropy_log_6_coef,9.764400720348401e-4,4.1846170703053966e-5
tqwt_skewness_value_dec_26,9.749564378055369e-4,6.606246753843481e-5
app_det_tkeo_mean_8_coef,9.724145309574779e-4,5.310636840364645e-5
tqwt_skewness_value_dec_25,9.592392996444528e-4,6.864173803999066e-5
tqwt_entropy_shannon_dec_36,9.575735549574529e-4,7.229817883095943e-5
std_2nd_delta,9.520531565548607e-4,7.046132456659223e-5
gq_std_cycle_open,9.494377036968542e-4,5.901853777113748e-5
tqwt_tkeo_std_dec_14,9.477550715291607e-4,7.144037589895421e-5
tqwt_mean_value_dec_13,9.442078326405337e-4,5.663047321566964e-5
tqwt_tkeo_mean_dec_14,9.422557705265919e-4,5.975449165358566e-5
tqwt_median_value_dec_33,9.420064888955509e-4,6.865727030450449e-5
b1,9.385366061598179e-4,6.519516377012466e-5
app_entropy_shannon_7_coef,9.362832309238403e-4,4.319743003311043e-5
tqwt_entropy_log_dec_7,9.359550904656491e-4,5.664745744467265e-5
tqwt_tkeo_mean_dec_8,9.31992151095544e-4,7.460543196870303e-5
app_lt_tkeo_std_5_coef,9.255762852769701e-4,6.255417908742326e-5
tqwt_entropy_shannon_dec_32,9.238582220625577e-4,6.783503116993281e-5
tqwt_energy_dec_34,9.231210583218978e-4,5.4301495508435824e-5
apq3shimmer,9.212434836396424e-4,5.6898685676410964e-5
det_lt_tkeo_std_3_coef,9.189085642761701e-4,5.6131371781346e-5
tqwt_median_value_dec_31,9.081791375694324e-4,6.767192716698432e-5
app_tkeo_std_10_coef,0.00090467851108582385,4.664222647748863e-5
gne_mean,9.014042868595558e-4,6.715665016472633e-5
tqwt_mean_value_dec_34,9.009705419420881e-4,9.420307483358012e-5
det_lt_entropy_log_1_coef,9.002990704169837e-4,4.979527091818203e-5
app_lt_tkeo_mean_3_coef,8.968300332880435e-4,4.507759880706937e-5
tqwt_max_value_dec_5,8.932388984452302e-4,6.13609878427865e-5
tqwt_energy_dec_14,8.928889883843239e-4,5.7436478410264234e-5
app_det_tkeo_mean_10_coef,8.868366104011145e-4,5.5930554229090195e-5
tqwt_median_value_dec_16,8.842695739415976e-4,3.844908868870233e-5
app_entropy_shannon_5_coef,8.821519895886713e-4,5.1509069652642e-5
tqwt_mean_value_dec_18,8.806786101909789e-4,5.8506246810834396e-5
tqwt_mean_value_dec_12,8.754541013665313e-4,4.918745124598546e-5
tqwt_median_value_dec_25,8.743358507700456e-4,7.782542713429032e-5
tqwt_entropy_shannon_dec_6,8.687104075982383e-4,5.284296904703007e-5
tqwt_entropy_shannon_dec_5,8.659283124455588e-4,7.723309131987462e-5
apq5shimmer,8.653724803783844e-4,4.9370031323035464e-5
std_mfcc_12th_coef,8.611641277603277e-4,5.704407225604617e-5
tqwt_min_value_dec_6,8.570603321088452e-4,5.182422236664557e-5
tqwt_energy_dec_13,8.546176262237012e-4,4.622044372345745e-5
tqwt_tkeo_std_dec_9,8.52616039228525e-4,4.486437715268447e-5
tqwt_kurtosis_value_dec_25,8.482957832479905e-4,6.856149312481172e-5
b2,8.481124166971153e-4,8.582602131026196e-5
tqwt_std_value_dec_1,8.464850495631769e-4,6.424642366363887e-5
tqwt_energy_dec_33,8.463378535215926e-4,7.799349023956396e-5
app_lt_tkeo_mean_7_coef,8.454336741794047e-4,4.189067265990124e-5
tqwt_tkeo_std_dec_18,8.45025300896251e-4,7.376777944939745e-5
tqwt_std_value_dec_17,8.449377521517905e-4,5.435069318979198e-5
app_entropy_shannon_4_coef,8.447284931656825e-4,5.370768294480076e-5
tqwt_energy_dec_15,8.423769749777577e-4,5.9622492338011146e-5
tqwt_entropy_log_dec_9,8.407775190246694e-4,5.254899272595487e-5
tqwt_skewness_value_dec_28,8.35623690587107e-4,9.326700066512358e-5
tqwt_kurtosis_value_dec_33,8.349461229953293e-4,7.96235198105351e-5
tqwt_mean_value_dec_17,8.345194775068315e-4,6.281606514916143e-5
app_lt_entropy_log_10_coef,8.277838513866502e-4,4.017773003078369e-5
tqwt_tkeo_std_dec_6,8.277003514665364e-4,6.360293646164055e-5
tqwt_tkeo_std_dec_27,8.254113623285311e-4,5.200396643671106e-5
std_5th_delta,8.237073908077865e-4,5.2596962561923217e-5
tqwt_median_value_dec_22,8.219398111860262e-4,3.491219972785915e-5
app_entropy_shannon_2_coef,8.19955515505443e-4,4.255739195819483e-5
tqwt_min_value_dec_14,8.195038699025546e-4,5.0445139358298944e-5
tqwt_entropy_log_dec_32,8.160671972561172e-4,5.837376878995154e-5
std_5th_delta_delta,8.147938605038449e-4,4.415581801686493e-5
tqwt_entropy_shannon_dec_7,8.122403976537629e-4,4.4597374039148186e-5
app_lt_tkeo_mean_10_coef,8.112887338738234e-4,4.61796861135748e-5
